Name,Pubished Date,Original Price,Discount Price,Reviews,Tags
Tom Clancy’s The Division® 2,"
                    Jan 12, 2023                ",$29.99,$2.99,19968,"['Looter Shooter', 'Open World', 'Multiplayer', 'Third-Person Shooter', 'Online Co-Op', 'Singleplayer', 'Action', 'Shooter', 'Adventure', 'RPG', 'Post-apocalyptic', 'Co-op', 'Loot', 'Character Customization', 'Survival', 'Massively Multiplayer', 'PvE', 'Military', 'PvP', 'Story Rich']"
ELDEN RING,"
                    Feb 24, 2022                ",N/A,$59.99,765632,"['Souls-like', 'Open World', 'Dark Fantasy', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'Atmospheric', 'PvP', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']"
Sekiro™: Shadows Die Twice - GOTY Edition,"
                    Mar 21, 2019                ",$59.99,$29.99,234291,"['Souls-like', 'Difficult', 'Action', 'Singleplayer', 'Ninja', 'Stealth', 'Adventure', 'Third Person', 'Open World', 'Story Rich', 'Violent', 'Atmospheric', 'Assassin', 'Dark Fantasy', 'Hack and Slash', 'RPG', 'Gore', 'Great Soundtrack', 'Rhythm', 'Dark']"
Call of Duty®: Black Ops 6,"
                    Oct 24, 2024                ",$69.99,$38.49,11844,"['Action', 'Multiplayer', 'Shooter', 'FPS', 'Singleplayer', 'First-Person', 'Capitalism', 'Military', 'PvP', 'War', 'Artificial Intelligence', 'Violent', 'Gore', 'Co-op', 'Story Rich', 'Realistic', 'PvE', 'Online Co-Op', 'Open World', 'Romance']"
STAR WARS™ Battlefront™ II,"
                    Jun 11, 2020                ",N/A,$39.99,60693,"['Multiplayer', 'Shooter', 'Singleplayer', 'Third-Person Shooter', 'Action', 'Space', 'FPS', 'Sci-fi', 'Co-op', 'Combat', 'Online Co-Op', 'Vehicular Combat', 'First-Person', 'Third Person', 'Adventure', 'PvP', 'Aliens', 'Controller', 'Tactical', 'Character Customization']"
Destiny 2,"
                    Oct 1, 2019                ",N/A,Free,625586,"['Free to Play', 'Open World', 'Multiplayer', 'Looter Shooter', 'MMORPG', 'FPS', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Adventure', 'Lore-Rich', 'Space', 'Competitive', 'Atmospheric']"
Call of Duty®: Black Ops III,"
                    Nov 5, 2015                ",$59.99,$19.79,140513,"['Multiplayer', 'Zombies', 'FPS', 'Shooter', 'Action', 'First-Person', 'Singleplayer', 'Co-op', 'Futuristic', 'Illuminati', 'Hero Shooter', 'Robots', 'Sci-fi', 'Gore', 'Great Soundtrack', 'Story Rich', 'Atmospheric', 'Parkour', 'Quick-Time Events', 'Split Screen']"
R.E.P.O.,"
                    Feb 26, 2025                ",N/A,$9.99,151130,"['Horror', 'Online Co-Op', 'Multiplayer', 'Comedy', 'Co-op', 'Physics', '3D', 'First-Person', 'Stealth', 'Action', 'Robots', 'Survival', 'Exploration', 'Action Roguelike', 'Procedural Generation', 'Post-apocalyptic', 'Perma Death', 'Sci-fi', 'Dystopian', 'Early Access']"
RoadCraft,"
                    May 20, 2025                ",N/A,$39.99,6063,"['Simulation', 'Building', 'Driving', 'Physics', 'Adventure', 'Online Co-Op', 'Automation', 'Automobile Sim', 'Nature', 'Exploration', 'Destruction', 'Co-op', 'Immersive Sim', 'Transportation', 'Multiplayer', '3D', 'Realistic', 'Modern', 'Base Building', 'Controller']"
The Elder Scrolls Online: 2025 Content Pass,"
                    Apr 10, 2025                ",N/A,$49.99,34,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy', 'Multiplayer', 'Exploration', 'Massively Multiplayer', 'Singleplayer', 'Action', 'Character Customization', 'PvP', 'PvE', 'Lore-Rich', 'Story Rich', 'Choose Your Own Adventure', 'Magic', 'Class-Based', 'Action RPG', 'Atmospheric']"
